MatchID,Series,League,StartTime,MatchLength,Duration,Winner,Radiant,RadiantPlayers,Dire,DirePlayers,RadiantKills,DireKills,WinningTeam,LosingTeam
3217683193,141469.0,5418,01 Jun 2017 12:24,34:30,2070,Radiant,Team Braveheart,"LuLu^^, C, 876, 老A, Waixi",Team VDuoBao,"JoHnNy, Adong ๑ , Swallow, hmx, meet you",33,21,Team Braveheart,Team VDuoBao
3217545522,141469.0,5418,01 Jun 2017 11:01,54:18,3258,Radiant,Team VDuoBao,"JoHnNy, Adong ๑ , Swallow, hmx, meet you",Team Braveheart,"LuLu^^, C, 876, 老A, Waixi",44,29,Team VDuoBao,Team Braveheart
3217401511,141456.0,5418,01 Jun 2017 09:33,25:29,1529,Radiant,RUSH B,"BinGo, qd, ddr, lt, xy",LYG.Gaming,"极限, ZP, MoPao, LongGGG_, Mystery.",32,14,RUSH B,LYG.Gaming
3217296290,141448.0,5396,01 Jun 2017 08:22,48:00,2880,Dire,Danish Bears,"NoiA, Ryze, HeStEJoE-RoTTeN, Ace, 747",iG.Vitality,"ky xY `|, super, @dogf1ghts, InJuly, Sakata",40,39,iG.Vitality,Danish Bears
3217293224,141456.0,5418,01 Jun 2017 08:20,47:24,2844,Dire,LYG.Gaming,"极限, ZP, MoPao, LongGGG_, Mystery.",RUSH B,"BinGo, qd, ddr, lt, xy",29,42,RUSH B,LYG.Gaming
3217181531,141448.0,5396,01 Jun 2017 06:57,49:17,2957,Radiant,iG.Vitality,"ky xY `|, super, @dogf1ghts, InJuly, Sakata",Danish Bears,"NoiA, Ryze, HeStEJoE-RoTTeN, Ace, 747",28,21,iG.Vitality,Danish Bears
3217100388,141427.0,5396,01 Jun 2017 05:49,22:58,1378,Dire,Digital Chaos,"BuLba, Forev, DuBu, Abed, mason",Fnatic,"QO, Ohaiyo, DJ, Febby, Ah Jit",3,23,Fnatic,Digital Chaos
3217040638,141427.0,5396,01 Jun 2017 04:54,31:35,1895,Dire,Fnatic,"QO, Ohaiyo, DJ, Febby, Ah Jit",Digital Chaos,"BuLba, Forev, DuBu, Abed, mason",12,28,Digital Chaos,Fnatic
3216972655,141427.0,5396,01 Jun 2017 03:47,43:00,2580,Radiant,Fnatic,"QO, Ohaiyo, DJ, Febby, Ah Jit",Digital Chaos,"BuLba, Forev, DuBu, Abed, mason",26,15,Fnatic,Digital Chaos
3216826601,141409.0,5336,01 Jun 2017 12:25,36:36,2196,Radiant,THUNDERBIRDS,"MoonMeander, w33, Resolut1on, MiSeRy, Saksa",Team Freedom,"Sneyking, STAN KING, Yawar, CCnC, FLeee",34,21,THUNDERBIRDS,Team Freedom
3216779943,141409.0,5336,31 May 2017 11:30,26:24,1584,Radiant,THUNDERBIRDS,"MoonMeander, w33, Resolut1on, MiSeRy, Saksa",Team Freedom,"Sneyking, STAN KING, Yawar, CCnC, FLeee",27,15,THUNDERBIRDS,Team Freedom
3216687296,141381.0,5336,31 May 2017 10:00,47:26,2846,Dire,SG e-sports team,"c4t, Kingrd, 4dr, hFn, tavo",compLexity Gaming,"melonzz, Zfreek, Moo, DeMoN, Feero",32,29,compLexity Gaming,SG e-sports team
3216623131,141381.0,5336,31 May 2017 09:00,28:08,1688,Radiant,SG e-sports team,"c4t, Kingrd, 4dr, hFn, tavo",compLexity Gaming,"melonzz, Zfreek, Moo, DeMoN, Feero",27,19,SG e-sports team,compLexity Gaming
3216489929,141345.0,5336,31 May 2017 07:30,24:27,1467,Dire,compLexity Gaming,"melonzz, Zfreek, Moo, DeMoN, Feero",THUNDERBIRDS,"MoonMeander, w33, Resolut1on, MiSeRy, Saksa",5,25,THUNDERBIRDS,compLexity Gaming
3216390230,141345.0,5336,31 May 2017 06:30,32:48,1968,Radiant,THUNDERBIRDS,"MoonMeander, w33, Resolut1on, MiSeRy, Saksa",compLexity Gaming,"melonzz, Zfreek, Moo, DeMoN, Feero",35,14,THUNDERBIRDS,compLexity Gaming
3215623855,141281.0,5418,31 May 2017 11:59,35:23,2123,Radiant,Team VDuoBao,"JoHnNy, Adong ๑ , Swallow, hmx, meet you",C5Gaming,"ACE, Dog_7, Eu, Piao, Yld",25,20,Team VDuoBao,C5Gaming
3215532021,141281.0,5418,31 May 2017 11:03,32:07,1927,Dire,C5Gaming,"ACE, Dog_7, Eu, Piao, Yld",Team VDuoBao,"JoHnNy, Adong ๑ , Swallow, hmx, meet you",11,17,Team VDuoBao,C5Gaming
