"","","Total Count","Wins","Losses","Winrate","As Radiant","As Dire","Kills","Deaths","Assists","GPM","XPM","Last Hits","Denies","Overall","In Wins","In Losses","Shift"
"Newbee","Newbee","22","13","9","59.09%","11","11","27.64","21.32","65.14","2051","2319","1042","57","42:55","42:13","43:56","-01:43"
"compLexity Gaming","compLexity Gaming","21","9","12","42.86%","11","10","22.43","26.95","51.86","1896","2126","840","41","40:14","39:52","40:31","-00:39"
"Invictus Gaming","Invictus Gaming","17","8","9","47.06%","7","10","21.24","24.24","54.59","1911","2258","911","55","40:05","42:14","38:11","04:03"
"Team NP","Team NP","16","10","6","62.50%","11","5","26.69","20.12","63.12","1980","2287","962","49","42:21","36:00","52:57","-16:57"
"Faceless","Faceless","15","6","9","40.00%","10","5","21.80","26.40","53.93","1872","2046","875","41","40:40","39:00","41:46","-02:46"
"Evil Geniuses","Evil Geniuses","14","9","5","64.29%","3","11","24.57","21.57","60.21","1985","2251","1077","59","45:10","45:22","44:47","00:35"
"Infamous´","Infamous´","12","8","4","66.67%","6","6","26.67","18.83","59.00","2213","2506","784","50","33:30","30:14","40:00","-09:45"
"To.be.or.not.to.be","To.be.or.not.to.be","12","3","9","25.00%","7","5","20.58","27.42","49.00","1840","2084","845","38","37:03","29:59","39:25","-09:26"
"Team Freedom","Team Freedom","12","8","4","66.67%","9","3","30.67","26.58","73.92","2052","2329","991","40","44:09","46:26","39:35","06:50"
"White Fries Gaming","White Fries Gaming","12","7","5","58.33%","6","6","26.67","19.50","62.25","1992","2221","1013","44","43:09","45:43","39:34","06:08"
"Team VDuoBao","Team VDuoBao","12","7","5","58.33%","6","6","25.75","25.33","63.75","2015","2336","969","51","41:15","40:40","42:03","-01:22"
"Team Liquid","Team Liquid","12","9","3","75.00%","6","6","26.17","21.00","60.17","2044","2286","814","53","37:05","34:14","45:38","-11:24"
"TEAM MAX","TEAM MAX","12","10","2","83.33%","6","6","25.08","17.42","63.08","2090","2356","794","31","33:34","34:17","29:58","04:19"
"Team Braveheart","Team Braveheart","11","6","5","54.55%","5","6","25.27","25.09","54.55","1966","2233","942","41","41:08","42:54","39:00","03:54"
"TNC Pro Team","TNC Pro Team","11","8","3","72.73%","8","3","28.00","20.55","69.00","2063","2359","913","36","39:21","43:14","29:01","14:12"
"RUSH B","RUSH B","10","6","4","60.00%","5","5","28.90","24.90","69.50","1987","2306","896","61","39:34","38:36","41:00","-02:24"
"LYG.Gaming","LYG.Gaming","10","1","9","10.00%","5","5","17.70","30.70","38.90","1660","1897","640","45","32:53","29:43","33:14","-03:31"
"team_ftd_a","team_ftd_a","10","7","3","70.00%","5","5","28.40","26.20","62.90","2094","2335","687","69","33:50","32:15","37:32","-05:16"
"C5Gaming","C5Gaming","10","1","9","10.00%","5","5","15.70","31.10","39.10","1668","1861","718","40","36:14","47:27","34:59","12:27"
"Virtus.pro","Virtus.pro","10","5","5","50.00%","7","3","19.30","22.20","46.10","1992","2218","816","56","33:59","35:55","32:04","03:51"
"Team Secret","Team Secret","10","6","4","60.00%","3","7","19.90","20.00","49.40","1838","1964","789","51","37:49","37:04","38:57","-01:52"
"Newbee.Young","Newbee.Young","9","5","4","55.56%","4","5","20.89","21.11","46.78","1932","2209","788","49","34:28","30:02","39:59","-09:57"
"Elements Pro Gaming","Elements Pro Gaming","8","1","7","12.50%","6","2","18.75","30.38","44.12","1692","2034","678","48","34:59","41:12","34:05","07:06"
"Team Red","Team Red","8","4","4","50.00%","5","3","17.75","21.38","40.12","1980","2165","723","38","30:13","29:13","31:13","-02:00"
"CAVALRY","CAVALRY","8","5","3","62.50%","4","4","22.25","22.12","53.75","2044","2301","802","43","36:00","39:49","29:38","10:10"
"mousesports","mousesports","8","5","3","62.50%","5","3","24.88","23.62","57.25","2017","2265","836","57","38:39","40:12","36:04","04:07"
"Natus Vincere","Natus Vincere","8","3","5","37.50%","1","7","22.75","21.12","51.25","1905","2181","768","70","35:40","28:57","39:43","-10:46"
